ID,Removals,Avg_removal_length_min,,,,,
G021,0,NA,,,,,
G022,0,NA,,,,,
G023,0,NA,,,,,
G024,0,NA,,,,,
G025,0,NA,,,,,
G026,0,NA,,,,,
G027,0,NA,,,,,
G028,1,600,,,,,
G029,0,NA,,,,,
G030,0,NA,,,,,
G031,0,NA,,,,,
G032,0,NA,,,,,
G033,0,NA,,,,,
G034,0,NA,,,,,
G035,0,NA,,,,,
G036,0,NA,,,,,
G037,0,NA,,,,,
G038,0,NA,,,,,
G039,0,NA,,,,,
G040,0,NA,,,,,
G041,0,NA,,,,,
G042,0,NA,,,,,
G043,0,NA,,,,,
G044,0,NA,,,,,
G045,0,NA,,,,,
G046,0,NA,,,,,
G047,0,NA,,,,,
G048,0,NA,,,,,
G049,0,NA,,,,,
G050,0,NA,,,,,
G051,0,NA,,,,,
G052,0,NA,,,,,
G053,0,NA,,,,,
G054,0,NA,,,,,
G055,0,NA,,,,,
G056,0,NA,,,,,
G057,0,NA,,,,,
G058,0,NA,,,,,
G059,0,NA,,,,,
G060,0,NA,,,,,
G061,0,NA,,,,,
G062,0,NA,,,,,
G063,0,NA,,,,,
G064,2,60,,,,,
G065,1,300,,,,,
G066,1,60,,,,,
G067,0,NA,,,,,
G068,0,NA,,,,,
G069,0,NA,,,,,
G070,0,NA,,,,,
G071,0,NA,,,,,
G072,0,NA,,,,,
G073,2,10,,,,,
G074,0,NA,,,,,
G075,0,NA,,,,,
G076,0,NA,,,,,
G077,0,NA,,,,,
G078,0,NA,,,,,
G079,0,NA,,,,,
G080,1,600,,,,,
G081,1,600,,,,,
G082,0,NA,,,,,
G083,0,NA,,,,,
G084,0,NA,,,,,
G085,0,NA,,,,,
G086,0,NA,,,,,
G087,1,240,,,,,
G088,0,NA,,,,,
G089,0,NA,,,,,
G090,0,NA,,,,,
G091,1,240,,,,,
G092,0,NA,,,,,
G093,1,120,,,,,
G094,0,NA,,,,,
G095,3,280,,,,,
G096,1,300,,,,,
G097,1,600,,,,,
G098,0,NA,,,,,
G099,0,NA,,,,,
G100,0,NA,,,,,
G101,0,NA,,,,,
G102,0,NA,,,,,
G103,0,NA,,,,,
G104,0,NA,,,,,
G105,0,NA,,,,,
G106,0,NA,,,,,
G107,0,NA,,,,,
G108,0,NA,,,,,
G109,0,NA,,,,,
G110,0,NA,,,,,
G111,0,NA,,,,,
G112,0,NA,,,,,
G113,0,NA,,,,,
G114,0,NA,,,,,
G115,0,NA,,,,,
G116,0,NA,,,,,
G117,0,NA,,,,,
G118,0,NA,,,,,
G119,0,NA,,,,,
G120,0,NA,,,,,
